Label,X,Y
a1,-225.621786824597,-509.777364777564
a2,-225.621786824597,-509.777364777564
a3,-225.462710647457,-512.128210731083
a4,-225.462710647457,-512.128210731083
a5,-225.017517746273,-507.888910606663
a6,-225.017517746273,-507.888910606663
a7,-224.643571595729,-514.764306609032
a8,-224.643571595729,-514.764306609032
a9,-224.098991569966,-505.675118219148
a10,-224.098991569966,-505.675118219148
a11,-221.396143886028,-504.695743359131
a12,-221.396143886028,-504.695743359131
a13,-219.229991818946,-524.312091018912
a14,-219.229991818946,-524.312091018912
a15,-126.898758904694,-712.78605442132
a16,-126.898758904694,-712.78605442132
a17,-123.98903418596,-715.451743503792
a18,-123.98903418596,-715.451743503792
a19,-120.647872591253,-716.287285399698
a20,-120.647872591253,-716.287285399698
a21,-117.253639349274,-715.033495990669
a22,-117.253639349274,-715.033495990669
a23,-116.513428555393,-220.82957435956
a24,-116.513428555393,-220.82957435956
a25,-116.493144295531,-218.074182232635
a26,-116.493144295531,-218.074182232635
a27,-115.73141894383,-216.290951602403
a28,-115.73141894383,-216.290951602403
a29,-115.610540852405,-224.41283135597
a30,-115.610540852405,-224.41283135597
a31,-114.348367953638,-212.765139752867
a32,-114.348367953638,-212.765139752867
a33,-110.667659053194,-710.295375635899
a34,-110.667659053194,-710.295375635899
a35,-104.708058832799,-243.745142005336
a36,-104.708058832799,-243.745142005336
a37,-91.1236725448618,-695.235915240842
a38,-91.1236725448618,-695.235915240842
a39,-83.3722797773994,-685.991325210848
a40,-83.3722797773994,-685.991325210848
a41,-82.1960223016027,-157.302326101165
a42,-82.1960223016027,-157.302326101165
a43,-35.3755437259827,-399.945156093291
a44,-35.3755437259827,-399.945156093291
a45,-32.47133364237,-396.987141492669
a46,-32.47133364237,-396.987141492669
a47,-32.3299963519186,-372.702127153733
a48,-32.3299963519186,-372.702127153733
a49,-30.0512611139399,-393.164150991329
a50,-30.0512611139399,-393.164150991329
a51,-29.6911863468483,-378.698198875766
a52,-29.6911863468483,-378.698198875766
a53,-28.5348128948316,-382.626582242606
a54,-28.5348128948316,-382.626582242606
a55,-28.2401307657802,-388.028017627562
a56,-28.2401307657802,-388.028017627562
a57,0.529255098554449,-5.8900868233661
a58,0.529255098554449,-5.8900868233661
a59,107.982203841232,-118.739648915536
a60,108.026455278717,-118.694965830723
a61,108.026455278717,-118.694965830723
a62,108.826095144019,-119.398886473058
a63,108.891127294232,-119.291805829483
a64,108.891127294232,-119.291805829483
a65,111.199367177855,-115.491104000426
a66,111.199367177855,-115.491104000426
a67,199.352844314009,-169.028419201012
a68,199.352844314009,-169.028419201012
a69,209.182625802964,-172.323542060528
a70,209.182625802964,-172.323542060528
a71,209.650095878224,-179.238586994873
a72,209.650095878224,-179.238586994873
a73,210.481045346961,-174.898738492664
a74,210.481045346961,-174.898738492664
a75,210.80280977483,-175.792340268502
a76,210.80280977483,-175.792340268502
